姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,宽,高,来源批次,错误证据
宋尔卫,https://www.gzsys.org.cn/node/14894,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10155.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/宋尔卫-乳腺外科-主任医师-中山大学孙逸仙纪念医院.jpg,23352,5ae0e992c91073ca0882ac0a1208a9634cff5c8104f6a56f151603398f7d9c8c,247,338,TRIAL_REUSE,
陈样新,https://www.gzsys.org.cn/node/14820,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/12822.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/陈样新-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,1731623,08338ee737613de07f475332030be71b55e3762f6c1d831f0aabd334c093dbd8,2450,3589,TRIAL_REUSE,
姚和瑞,https://www.gzsys.org.cn/node/14897,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/10463.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/姚和瑞-乳腺内科-主任医师-中山大学孙逸仙纪念医院.jpg,1972803,6cda6137b9f4b001913371ab4ac3edd04092601a7703650d89dec299f0e2bb57,2400,3600,FULL_FETCH,
唐亚梅,https://www.gzsys.org.cn/node/14700,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/12428_0.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/唐亚梅-神经科-主任医师-中山大学孙逸仙纪念医院.jpg,77518,b61f0dc31d6fa9d531f4664bc7353e9cbf5379e605137323a9d9c4dd5329f687,413,626,FULL_FETCH,
陈穗俊,https://www.gzsys.org.cn/node/15288,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9269.png,01_试点医院/中山大学孙逸仙纪念医院/照片/陈穗俊-耳鼻喉科-主任医师-中山大学孙逸仙纪念医院.png,509285,7fa51d83cb256ec1bf0608b4dd4fb1bc0ec5ba8f28d8c667e61f079e2bb48726,722,1000,FULL_FETCH,
黄海,https://www.gzsys.org.cn/node/15263,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/12145.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/黄海-泌尿外科-主任医师-中山大学孙逸仙纪念医院.jpg,100257,ee4ef0d65108b417282b6b9a518ec1b8441e74bbc87a7f7dd28cc7522d49eac3,413,626,FULL_FETCH,
黄健,https://www.gzsys.org.cn/node/15255,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9521.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/黄健-泌尿外科-主任医师-中山大学孙逸仙纪念医院.jpg,1976463,94bacfc54c621886fcedf3237749a7be90cb51ae4f3e65f759ce7cf6c6b87420,3520,4824,FULL_FETCH,
王景峰,https://www.gzsys.org.cn/node/14816,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/4444_0.JPG,01_试点医院/中山大学孙逸仙纪念医院/照片/王景峰-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,264366,08d979a5edfef2b126cde64e3eac24ad2f2a1423f9348ab7e73c8b1d1bc9c239,1182,1416,FULL_FETCH,
严励,https://www.gzsys.org.cn/node/15315,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/10427.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/严励-内分泌内科-主任医师-中山大学孙逸仙纪念医院.jpg,2074648,9cc9f80f6a0fae4281c09f3bdccfa5820501f4d28ead73cffafe0492a47ad1c8,2400,3600,FULL_FETCH,
沈君,https://www.gzsys.org.cn/node/14697,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10141.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/沈君-放射科影像专科-主任医师-中山大学孙逸仙纪念医院.jpg,159918,a2de7f0504a11513f1bd8ba1bce7691fdc9d51ea55ee846f8783bd46240ee77b,429,616,FULL_FETCH,
詹俊,https://www.gzsys.org.cn/doctor/14811,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10547.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/詹俊-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,10354,e2296a8e111de8f690f827c58ca9bf33767353d6f59de7a7df30fdc1888844e5,168,240,TRIAL_REUSE,
刘强,https://www.gzsys.org.cn/node/14896,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13717.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/刘强-乳腺外科-主任医师-中山大学孙逸仙纪念医院.jpg,4124633,0d0ceada64c32e06e698999ed7b99e5472309762f1ee8be7d562eb02e95f60fe,3993,4096,FULL_FETCH,
刘宜敏,https://www.gzsys.org.cn/node/14861,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/01178.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/刘宜敏-肿瘤科放疗专科-主任医师-中山大学孙逸仙纪念医院.jpg,13871,be9fe1b97a3e3e395ecc63849b3c0ad4092c7dc5b3e5974d840566ca8bf24371,168,240,FULL_FETCH,
谢双伦,https://www.gzsys.org.cn/node/14825,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12658.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/谢双伦-心血管内科-主任医师-中山大学孙逸仙纪念医院.jpg,691342,3de3e4379b1b5b2edb51fa2e7bfddd7989e80080ff1030c1a0ae454b98daf9a4,390,567,FULL_FETCH,
林㼆,https://www.gzsys.org.cn/node/14805,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9864.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/林㼆-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,83562,d790a9cb7083821478a87f88dd9f7f7600d0fbd33c084f149479497b30b5fe18,1072,1500,FULL_FETCH,
黎阳,https://www.gzsys.org.cn/node/14630,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9647.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/黎阳-儿科肿瘤专科-主任医师-中山大学孙逸仙纪念医院.jpg,84166,f470c8326aa1ee9581ad664fae9849ac0297c36da0c95ed3697210bd75618fd1,295,413,FULL_FETCH,
曹林,https://www.gzsys.org.cn/node/14611,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9165.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/曹林-麻醉科-主任医师-中山大学孙逸仙纪念医院.jpg,43304,dbc2577539b596ab28cdbcfdb92dc74509b170154314f74d56b7eebbe8f51596,390,567,FULL_FETCH,
曹铭辉,https://www.gzsys.org.cn/node/14637,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9166.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/曹铭辉-麻醉科-主任医师-中山大学孙逸仙纪念医院.jpg,103410,72dd8e205f20b1480e2ba4f0a2e2ea7049b7ff67ca27ee91cbfef1c936ea34c6,676,894,FULL_FETCH,
周敦华,https://www.gzsys.org.cn/node/14646,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10691.png,01_试点医院/中山大学孙逸仙纪念医院/照片/周敦华-儿科血液专科-主任医师-中山大学孙逸仙纪念医院.png,121021,09dfdfe0a6568fab204491277f47ee24209c237a6368a9320556e44f90b91701,334,472,FULL_FETCH,
陈勍,https://www.gzsys.org.cn/node/14536,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9219.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/陈勍-妇科肿瘤专科-主任医师-中山大学孙逸仙纪念医院.jpg,40893,9b8d6f54cbdffde3faf326e2c6bd18aa339d7098a9999a3ad0039826d5d48d1b,744,800,FULL_FETCH,
罗葆明,https://www.gzsys.org.cn/node/14614,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9975.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/罗葆明-超声科-主任医师-中山大学孙逸仙纪念医院.jpg,22972,3a4c10f794d23e2ff3c61d017408b32ea51c2517e9011052bec954ee64d692df,559,800,FULL_FETCH,
郭正辉,https://www.gzsys.org.cn/node/15260,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9441_%E5%89%AF%E6%9C%AC.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/郭正辉-泌尿外科-主任医师-中山大学孙逸仙纪念医院.jpg,96350,c0ec477903bfe08e2d579a33df7f8569187d6d066fc9ea79f96a1aa75e74c969,413,626,FULL_FETCH,
杨琼琼,https://www.gzsys.org.cn/node/14773,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/17279.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/杨琼琼-肾内科-主任医师-中山大学孙逸仙纪念医院.jpg,12309,daf14a15658da9c10431128c00e9e6fae34d56ad92a1556f8d2b75bf751f20ab,262,371,FULL_FETCH,
王铭辉,https://www.gzsys.org.cn/node/14845,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10239.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/王铭辉-胸外科-主任医师-中山大学孙逸仙纪念医院.jpg,16021,b8dde4c202eaab040e97b17d7ed96557badfebe1be80471278d67043063dd4cf,353,501,FULL_FETCH,
马超,https://www.gzsys.org.cn/node/15269,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10007.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/马超-康复医学科-主任医师-中山大学孙逸仙纪念医院.jpg,12115,58db2142772f82c864523ccc2229cefdeea0085d6c10a61982d4f60c53e91c43,168,240,FULL_FETCH,
许林锋,https://www.gzsys.org.cn/node/14671,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10414.JPG,01_试点医院/中山大学孙逸仙纪念医院/照片/许林锋-放射科介入专科-主任医师-中山大学孙逸仙纪念医院.jpg,2029747,c969a12785a0064bb616ad908a767cff551e035a79365def85cfcf4deb9129fe,2233,3147,FULL_FETCH,
苏士成,https://www.gzsys.org.cn/node/14903,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13146.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/苏士成-树华乳腺癌研究中心-主任医师-中山大学孙逸仙纪念医院.jpg,114954,3ae6519abe56ae0711c3670832920fe38b4ea3a15364c770656b010af3fba3aa,413,579,FULL_FETCH,
李春海,https://www.gzsys.org.cn/node/14561,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9654.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/李春海-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,1114788,7bde2fde027069975a77b77b0403b492eda07aeda99103550d459f0e3d423fb2,3600,5142,FULL_FETCH,
张立伐,https://www.gzsys.org.cn/doctor/14725,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12288.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张立伐-急诊科-主任医师-中山大学孙逸仙纪念医院.jpg,103617,353d574e2db682685e98224fdc22033be4705697a4229a078e6d24e2edfa2d38,413,579,FULL_FETCH,
蒋龙元,https://www.gzsys.org.cn/node/14587,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9603.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/蒋龙元-急诊科-主任医师-中山大学孙逸仙纪念医院.jpg,1960433,06c9cdb4cb6aaca53758315d68c611f4ac4b8d07e46d08d547beb6ac07c8b530,1493,2128,FULL_FETCH,
邓小耿,https://www.gzsys.org.cn/node/15215,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/01456.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/邓小耿-小儿外科-主任医师-中山大学孙逸仙纪念医院.jpg,10782,9bc3a038b6ca639a08b99ed6c00055820c30e36b3b9a96e45f4a56a67862c9c3,168,240,FULL_FETCH,
吴卓,https://www.gzsys.org.cn/node/14721,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12148.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/吴卓-放射科影像专科-主任医师-中山大学孙逸仙纪念医院.png,90793,08e80d45f2df0444449143818aac05695a4b20cb7440078e0c36dce6b0a2a6d5,202,283,FULL_FETCH,
李勇,https://www.gzsys.org.cn/node/14617,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9732.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/李勇-放射科影像专科-主任医师-中山大学孙逸仙纪念医院.jpg,1974598,715405526146d7d49107229fca56dbb51abb79a1fcd32452c74c057d2e964d98,3960,5758,FULL_FETCH,
张红卫,https://www.gzsys.org.cn/node/15242,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/10565.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张红卫-肝胆外科-主任医师-中山大学孙逸仙纪念医院.jpg,32558,85cd61df2a0b3e77c8f3a46200062900df1a1edbc2fdfb238618cde9070d8117,413,626,FULL_FETCH,
贾卫娟,https://www.gzsys.org.cn/node/14902,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9591.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/贾卫娟-乳腺外科-主任医师-中山大学孙逸仙纪念医院.jpg,91432,eaaae5e673ad1e85aaf83488cb84c3c7d071df75e77f2bf9e1bdfd982ba0c2fb,413,579,FULL_FETCH,
梁立阳,https://www.gzsys.org.cn/node/14629,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9775.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/梁立阳-儿科神经内分泌专科-主任医师-中山大学孙逸仙纪念医院.jpg,242301,98ac3f891f8d4444b11ac07a22f262e28fe9657ba910a67f75c2ddeafe1acd0a,583,848,FULL_FETCH,
黄霖,https://www.gzsys.org.cn/node/14680,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9537_1.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/黄霖-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,161415,4ec6812b229bded87d356bed9100674cdd7fc515448b3cbbab16dbbd51ad4115,405,516,FULL_FETCH,
林道炜,https://www.gzsys.org.cn/node/14668,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9831.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/林道炜-麻醉科-主任医师-中山大学孙逸仙纪念医院.jpg,97158,00cd5e9dc75df7010607ad61983a0f1899057b52989552d1546df0ef7d48a884,319,449,FULL_FETCH,
李鹤平,https://www.gzsys.org.cn/doctor/29131,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E9%B9%A4%E5%B9%B3.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/李鹤平-肿瘤内科-主任医师-中山大学孙逸仙纪念医院.png,709378,39c5653577fe9dd29ebbb8fb499cac234eb34e50c27d8a2fa84535f9c4db58a9,1279,1463,FULL_FETCH,
江山平,https://www.gzsys.org.cn/node/15230,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9596.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/江山平-呼吸与危重症医学科-主任医师-中山大学孙逸仙纪念医院.jpg,1913009,58700526abcc99e9d49610d8c855b51d68cdcd1e39acceeda2cefc38f6c58679,1492,2128,FULL_FETCH,
陈亚进,https://www.gzsys.org.cn/node/15238,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9304.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/陈亚进-普通外科-主任医师-中山大学孙逸仙纪念医院.jpg,35033,f3d0fbacd01ed6dfd65eab999a1f10d4f83eb7b594f4d2e41d9b216550e8fa76,413,626,FULL_FETCH,
商昌珍,https://www.gzsys.org.cn/node/15244,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/12471.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/商昌珍-肝胆外科-主任医师-中山大学孙逸仙纪念医院.jpg,30782,ace8c4634485fb4fe1622905bf8eb660251a21e025bc1b17560c3b3e454225d6,413,626,FULL_FETCH,
龚畅,https://www.gzsys.org.cn/node/14898,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12144.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/龚畅-乳腺外科-主任医师-中山大学孙逸仙纪念医院.jpg,173329,c8b9b5f51cb26673dceb9d5f13d8c6db037f0f90199daa0d2837216d8906ed07,413,626,FULL_FETCH,
陈慧,https://www.gzsys.org.cn/node/14732,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12467.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/陈慧-妇科生殖内分泌专科-主任医师-中山大学孙逸仙纪念医院.jpg,322028,5d79adfa030e9bc8e0317e246b273c863c7bb8cf4d7be0e2393a83f7e4c4ca1c,1051,1500,FULL_FETCH,
刘天润,https://www.gzsys.org.cn/doctor/29537,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E5%88%98%E5%A4%A9%E6%B6%A6.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/刘天润-甲状腺外科-主任医师-中山大学孙逸仙纪念医院.jpg,112490,2fd1e681e4836aa14f7aa5568604b2da4473540dbb1eadccbfad6fea53e86958,704,975,FULL_FETCH,
郑俊猛,https://www.gzsys.org.cn/node/15201,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/16782.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/郑俊猛-心血管外科-主任医师-中山大学孙逸仙纪念医院.jpg,1260169,61fef4cccda3ca8a0c617054597a712edec12d6a8582c689d84cb87988844d47,1716,2346,FULL_FETCH,
戴冽,https://www.gzsys.org.cn/node/14675,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E6%88%B4%E5%86%BD.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/戴冽-风湿免疫科-主任医师-中山大学孙逸仙纪念医院.jpg,564631,0b58f84dce5a0226e6c0e360bf194ebb945176108f7ee0566532a4d535dd34ee,2106,3017,FULL_FETCH,
蓝育青,https://www.gzsys.org.cn/node/14592,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9622.jpeg,01_试点医院/中山大学孙逸仙纪念医院/照片/蓝育青-眼科-主任医师-中山大学孙逸仙纪念医院.jpg,32530,287c8f1427f0edd86ac86fe93d050597b0aac131e20d5f0ef433991512bc9e10,391,520,FULL_FETCH,
高梁斌,https://www.gzsys.org.cn/node/14743,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/13099.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/高梁斌-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,85244,13bb4d6450ace8ce0a1deb6100d4328b125497fb24e040b9193932e97cbadb52,1024,1593,FULL_FETCH,
丁悦,https://www.gzsys.org.cn/node/14651,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9362.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/丁悦-骨外科-主任医师-中山大学孙逸仙纪念医院.jpg,9956,36f7d08b17f059c241d7309d2dd56c25a329519500d363c4a780f6c0faa50a31,168,240,FULL_FETCH,
刘安民,https://www.gzsys.org.cn/node/14658,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9873.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/刘安民-神经外科-主任医师-中山大学孙逸仙纪念医院.jpg,10354,3c446145d627498e71553c10dffd3fe1fe591fdf14b57fb9ca140c18c03c0c71,168,240,FULL_FETCH,
张金明,https://www.gzsys.org.cn/node/15203,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/01455.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张金明-整形外科-主任医师-中山大学孙逸仙纪念医院.jpg,38584,29611fb4b392975037254992224973a608419587021ffab6bab2cdadd209a15d,168,240,FULL_FETCH,
李劲松,https://www.gzsys.org.cn/node/14590,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/%E6%9D%8E%E5%8A%B2%E6%9D%BE.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/李劲松-口腔科-主任医师-中山大学孙逸仙纪念医院.png,35202,8bbb59b85e57351e28d355946129721b61fab8e86fdb712bfbe3a6dd210e7c06,152,215,FULL_FETCH,
王亮春,https://www.gzsys.org.cn/node/14735,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/12755.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/王亮春-皮肤科-主任医师-中山大学孙逸仙纪念医院.jpg,1688426,8bd229bbd17f0765eed8776f6aad3cdccd263e53bfb29195545fe65285a63373,2242,3260,FULL_FETCH,
黄晓明,https://www.gzsys.org.cn/node/15284,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9566.png,01_试点医院/中山大学孙逸仙纪念医院/照片/黄晓明-耳鼻喉科-主任医师-中山大学孙逸仙纪念医院.png,595558,62bdfc7878df3717ca71c6493e97f2d94d24968ee187743ab05805e4ec7f60ce,933,1000,FULL_FETCH,
张丙忠,https://www.gzsys.org.cn/node/14681,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10551.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张丙忠-妇科肿瘤专科-主任医师-中山大学孙逸仙纪念医院.jpg,87862,2c8ea82186c52f428d7766ac47ff2958305f9d0bbd47ea508bc6c546c22212c6,559,773,FULL_FETCH,
谭剑平,https://www.gzsys.org.cn/node/14573,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10173.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/谭剑平-围产专科-主任医师-中山大学孙逸仙纪念医院.jpg,3422,554358b75153747df332bcddd4c5a17b4defd387717205b984b9c1778c859886,168,240,FULL_FETCH,
陈庆瑜,https://www.gzsys.org.cn/node/14539,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/9252.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/陈庆瑜-健康管理中心-主任医师-中山大学孙逸仙纪念医院.jpg,1759384,566f7f8631c732aefa8252696a6cdb470e945d76ffe1551e5bf13e048eee4524,1955,2741,FULL_FETCH,
王凌云,https://www.gzsys.org.cn/node/14807,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10232.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/王凌云-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,32907,fc0c7f93bdb855a15625962f7da30bcd01266cd26caf84137388b1b01e094767,171,253,FULL_FETCH,
聂大年,https://www.gzsys.org.cn/node/14848,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10057.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/聂大年-血液内科-主任医师-中山大学孙逸仙纪念医院.jpg,21626,c708721bf76ccb6ec82f45b406d83d3c597bfee55fefc39e98929792a6a6c6f2,390,567,FULL_FETCH,
陈超刚,https://www.gzsys.org.cn/node/14691,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10804.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/陈超刚-临床营养科-主任医师-中山大学孙逸仙纪念医院.jpg,1514231,9bd94ab2d7fdc400a3a96143a714df3b3e0fb7d305e3e58837de79d6b449fc01,2181,3172,FULL_FETCH,
王艺东,https://www.gzsys.org.cn/node/14599,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10253.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/王艺东-神经科-主任医师-中山大学孙逸仙纪念医院.jpg,1241477,0ec9f4ebad9d740ac44928cc7f27e66496a39130fc207d611001d4419513e10d,2475,3301,FULL_FETCH,
张萌,https://www.gzsys.org.cn/node/14687,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10589.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张萌-全科医学科二科-主任医师-中山大学孙逸仙纪念医院.jpg,53739,a39c8ebe1881a3348d1d6913a604e1252ecef9f0749ab66d1d24f56edaf03b2b,1080,1473,FULL_FETCH,
伍俊妍,https://www.gzsys.org.cn/node/14640,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10341.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/伍俊妍-药学部-主任药师-中山大学孙逸仙纪念医院.jpg,1182380,b7691ca64ab6592edfab05bc49ec9eacc80a88708bacc452424923e9b366fa69,2460,3570,FULL_FETCH,
段朝晖,https://www.gzsys.org.cn/node/14619,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9366.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/段朝晖-检验科-主任技师-中山大学孙逸仙纪念医院.jpg,12174,0e072bad243d169b31616f6949e40edc83d1a3357cc1648a7a09b459cf8485cd,295,425,FULL_FETCH,
金小岩,https://www.gzsys.org.cn/node/14588,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/9608.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/金小岩-全科医学科一科-副主任医师-中山大学孙逸仙纪念医院.jpg,44525,7481c9e86772b50c8a7b58f55366d523b36b24f2a26f5bbe5f7f154181378e61,622,800,FULL_FETCH,
张世能,https://www.gzsys.org.cn/node/14812,实采,,https://www.gzsys.org.cn/sites/syshospital.prod.sysucloud1.sysu.edu.cn/files/doctor/10599.jpg,01_试点医院/中山大学孙逸仙纪念医院/照片/张世能-消化内科-主任医师-中山大学孙逸仙纪念医院.jpg,40116,0ef0ac59cc2c682f316132aae0d382f21d5086bcc5a647004d6e3dea6e3df9c3,168,224,FULL_FETCH,
